"UF";"Municipio";"Codigo";"Ano";"Robson";"parto_induzido";"Nascidos"
"AC";"CAPIXABA";120017;2012;2;1;2
"AC";"CAPIXABA";120017;2012;4;1;4
"AC";"CAPIXABA";120017;2014;2;1;5
"AC";"CAPIXABA";120017;2014;4;1;1
"AC";"CAPIXABA";120017;2015;2;1;2
"AC";"CAPIXABA";120017;2015;2;2;1
"AC";"CAPIXABA";120017;2015;4;1;13
"AC";"CAPIXABA";120017;2016;2;2;1
"AC";"CAPIXABA";120017;2016;4;1;7
"AC";"CAPIXABA";120017;2017;2;1;1
"AC";"CAPIXABA";120017;2017;4;1;2
"AC";"CAPIXABA";120017;2018;2;1;4
"AC";"CAPIXABA";120017;2018;2;2;2
"AC";"CAPIXABA";120017;2018;4;1;6
"AC";"CAPIXABA";120017;2018;4;2;2
"AC";"CAPIXABA";120017;2019;2;1;2
"AC";"CAPIXABA";120017;2019;2;2;10
"AC";"CAPIXABA";120017;2019;4;1;9
"AC";"CAPIXABA";120017;2019;4;2;7
"AC";"CAPIXABA";120017;2020;2;1;7
"AC";"CAPIXABA";120017;2020;4;1;18
"AC";"CAPIXABA";120017;2020;4;2;2
"AC";"CAPIXABA";120017;2021;2;1;4
"AC";"CAPIXABA";120017;2021;2;2;11
"AC";"CAPIXABA";120017;2021;4;1;11
"AC";"CAPIXABA";120017;2021;4;2;3
"AC";"CRUZEIRO DO SUL";120020;2010;2;NA;1
"AC";"CRUZEIRO DO SUL";120020;2010;2;1;20
"AC";"CRUZEIRO DO SUL";120020;2010;2;2;9
"AC";"CRUZEIRO DO SUL";120020;2010;4;NA;1
"AC";"CRUZEIRO DO SUL";120020;2010;4;1;23
"AC";"CRUZEIRO DO SUL";120020;2010;4;2;8
"AC";"CRUZEIRO DO SUL";120020;2010;4;9;1
"AC";"CRUZEIRO DO SUL";120020;2011;2;1;73
"AC";"CRUZEIRO DO SUL";120020;2011;2;2;53
"AC";"CRUZEIRO DO SUL";120020;2011;4;1;70
"AC";"CRUZEIRO DO SUL";120020;2011;4;2;19
"AC";"CRUZEIRO DO SUL";120020;2012;2;1;92
"AC";"CRUZEIRO DO SUL";120020;2012;2;2;92
"AC";"CRUZEIRO DO SUL";120020;2012;4;1;53
"AC";"CRUZEIRO DO SUL";120020;2012;4;2;36
"AC";"CRUZEIRO DO SUL";120020;2014;2;1;72
"AC";"CRUZEIRO DO SUL";120020;2014;2;2;12
"AC";"CRUZEIRO DO SUL";120020;2014;4;1;50
"AC";"CRUZEIRO DO SUL";120020;2014;4;2;8
"AC";"CRUZEIRO DO SUL";120020;2015;2;1;81
"AC";"CRUZEIRO DO SUL";120020;2015;2;2;14
"AC";"CRUZEIRO DO SUL";120020;2015;4;1;105
"AC";"CRUZEIRO DO SUL";120020;2015;4;2;14
"AC";"CRUZEIRO DO SUL";120020;2016;2;1;48
"AC";"CRUZEIRO DO SUL";120020;2016;2;2;26
"AC";"CRUZEIRO DO SUL";120020;2016;4;1;44
"AC";"CRUZEIRO DO SUL";120020;2016;4;2;12
"AC";"CRUZEIRO DO SUL";120020;2017;2;1;24
"AC";"CRUZEIRO DO SUL";120020;2017;2;2;12
"AC";"CRUZEIRO DO SUL";120020;2017;2;9;1
"AC";"CRUZEIRO DO SUL";120020;2017;4;1;33
"AC";"CRUZEIRO DO SUL";120020;2017;4;2;2
"AC";"CRUZEIRO DO SUL";120020;2018;2;1;125
"AC";"CRUZEIRO DO SUL";120020;2018;2;2;15
"AC";"CRUZEIRO DO SUL";120020;2018;4;1;108
"AC";"CRUZEIRO DO SUL";120020;2018;4;2;6
"AC";"CRUZEIRO DO SUL";120020;2019;2;1;116
"AC";"CRUZEIRO DO SUL";120020;2019;2;2;29
"AC";"CRUZEIRO DO SUL";120020;2019;4;1;118
"AC";"CRUZEIRO DO SUL";120020;2019;4;2;11
"AC";"CRUZEIRO DO SUL";120020;2020;2;1;97
"AC";"CRUZEIRO DO SUL";120020;2020;2;2;19
"AC";"CRUZEIRO DO SUL";120020;2020;4;1;110
"AC";"CRUZEIRO DO SUL";120020;2020;4;2;15
"AC";"CRUZEIRO DO SUL";120020;2021;2;1;63
"AC";"CRUZEIRO DO SUL";120020;2021;2;2;102
"AC";"CRUZEIRO DO SUL";120020;2021;4;1;86
"AC";"CRUZEIRO DO SUL";120020;2021;4;2;67
"AC";"EPITACIOLANDIA";120025;2010;2;1;1
"AC";"EPITACIOLANDIA";120025;2010;2;2;1
"AC";"EPITACIOLANDIA";120025;2010;4;1;3
"AC";"EPITACIOLANDIA";120025;2011;2;1;1
"AC";"EPITACIOLANDIA";120025;2011;2;2;1
"AC";"EPITACIOLANDIA";120025;2011;4;1;2
